X,y_pred
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
shellexperiencehost.exe,"['systemsettings.exe', 'chrome.exe', 'spotify.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
microsoft.aad.brokerplugin.exe,"['teams.exe', 'chrome.exe', 'discord.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
python.exe,"['netflix.exe', 'cmd.exe', 'discord.exe']"
db browser for sqlite.exe,"['explorer.exe', 'devenv.exe', 'chrome.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
db browser for sqlite.exe,"['explorer.exe', 'devenv.exe', 'chrome.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
vsdebugconsole.exe,"['devenv.exe', 'explorer.exe', 'chrome.exe']"
vsdebugconsole.exe,"['devenv.exe', 'explorer.exe', 'chrome.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
zoom.exe,"['chrome.exe', 'discord.exe', 'explorer.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
systemsettings.exe,"['chrome.exe', 'explorer.exe', 'spotify.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
netflix.exe,"['chrome.exe', 'explorer.exe', 'shellexperiencehost.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
vpnui.exe,"['taskmgr.exe', 'chrome.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
python.exe,"['netflix.exe', 'cmd.exe', 'discord.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
systemsettings.exe,"['chrome.exe', 'explorer.exe', 'spotify.exe']"
cmd.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
zoom.exe,"['chrome.exe', 'discord.exe', 'explorer.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
microsoft.aad.brokerplugin.exe,"['teams.exe', 'chrome.exe', 'discord.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
netflix.exe,"['chrome.exe', 'explorer.exe', 'shellexperiencehost.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
systemsettings.exe,"['chrome.exe', 'explorer.exe', 'spotify.exe']"
spotify.exe,"['chrome.exe', 'explorer.exe', 'discord.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
discord.exe,"['chrome.exe', 'explorer.exe', 'zoom.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
devenv.exe,"['explorer.exe', 'chrome.exe', 'teams.exe']"
vsdebugconsole.exe,"['devenv.exe', 'explorer.exe', 'chrome.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
systemsettings.exe,"['chrome.exe', 'explorer.exe', 'spotify.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
githubdesktop.exe,"['explorer.exe', 'chrome.exe', 'shellexperiencehost.exe']"
msedge.exe,"['devenv.exe', 'explorer.exe', 'chrome.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
chrome.exe,"['explorer.exe', 'discord.exe', 'cmd.exe']"
teams.exe,"['devenv.exe', 'chrome.exe', 'explorer.exe']"
paintstudio.view.exe,"['explorer.exe', 'anaconda3-2021.11-windows-x86_64.exe', 'steam.exe']"
explorer.exe,"['chrome.exe', 'cmd.exe', 'db browser for sqlite.exe']"
